name,unit_code,operator,gender,facility_type,region,city,county,facility_url,jurisdiction,agency,unit_full_name,family_liaison,date_established,total_employees,security_employees,non_security_employees,windham_employees,medical_employees,capacity,custody_levels,acreage,agricultural_ops,manufacturing_ops,facility_ops,additional_ops,medical_capabilities,educational_programs,additional_programs,community_work,volunteer_initiatives,street_address,parsed_city,state,zip_code,phone,location_description,senior_warden,latitude,longitude
Coleman,LC,CID,Female,Prison,VI,Lockhart,Caldwell,https://www.tdcj.texas.gov/unit_directory/lc.html,Texas,TDCJ,Gregory S. Coleman Unit,,January 1993,204,48,48,,Medical = 11; Mental Health = 0,"1,000","G1, G2, Substance Abuse",31,None,On-Shore Resources; Henderson Controls (both are Prison Industry Enhancement [PIE] Certification Programs),Unit Maintenance,None,Ambulatory medical and dental services.  Managed by UTMB.,"Adult Basic Education, Pre-GED, GED, Life Skills; Vocational Programs: Computer Operating Systems Technology; Business Computer Information Systems","Faith-Based Dormitory, Adult Education Program (upon availability), PAWS in Prison, Chaplaincy Services, Empowering Women Out of Prison (EWOP)",Services provided to city and county agencies and local organizations.,"Literacy/Education, Employment/Job Skills, Substance Abuse Education, Life Skills, Parent Training, Support Groups, Victims Awareness, Religious/Faith-Based Studies and Activities, Truth Be Told",Gregory S. Coleman Unit,Lockhart,TX,78644,(512) 398-3480,"1400 Industrial Blvd., within city limits of Lockhart, east of Hwy 20 in Caldwell County",,29.8698391,-97.6529475
Connally,CY,CID,Male,Prison,IV,Kenedy,Karnes,https://www.tdcj.texas.gov/unit_directory/cy.html,Texas,TDCJ,John B. Connally Unit,,July 1995,354,76,76,9,Medical = 41; Mental Health = 5,"2,496","G1-G5, Security  Detention, Mental Health",813,"Contract Grazing, Security Horses, Security Pack Canines,  Unit Garden",None,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services. Medical care available 24 hours a day, seven days a week. Seventeen in-patient bed infirmary, including 13 assisted living beds, two respiratory isolation rooms, and two mental health observation rooms.  Telemedicine and Digital Medical Services (DMS) available. All services on a single level, including chronic care clinics and CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Construction Carpentry; Electrical Trades; Piping Trades/Plumbing","Faith-Based Dormitory, Adult Education Program (upon availability), Peer Education, Reentry Planning, Chaplaincy Services, Crime Stoppers, GO KIDS Initiative",Services provided to local organizations and Habitat for Humanity.,"Literacy/Education, Employment/Job Skills, Substance Abuse Education, Support Groups, Mentoring, Life Skills, Religious/Faith-Based Studies and Activities",John B. Connally Unit,Kenedy,TX,78119,(830) 583-4003,Two miles south of Kenedy on Hwy 181 to FM 632 in Karnes County,,28.774441,-97.83556800000001
Cotulla,N4,CID,Male,Prison,IV,Cotulla,La Salle,https://www.tdcj.texas.gov/unit_directory/n4.html,Texas,TDCJ,Cotulla Unit,,July 1992,99,22,22,3,Medical = 7; Mental Health = 0,606,"G1, G2, Transient",36,Unit Garden,None,Unit Maintenance,None,Ambulatory medical and dental services. Managed by UTMB.,"Literacy (Adult Basic Education/GED),  CHANGES/Pre-Release, Cognitive Intervention","Faith-Based Dormitory, Adult Education Program (upon availability), Chaplaincy Services, GO KIDS Initiative",Services provided to  local organizations.,"Substance Abuse Education, Support Groups, Life Skills, Religious/Faith-Based Studies and Activities",Cotulla Unit,Cotulla,TX,78014,(830) 879-3077,Less than one  mile east of Cotulla on FM 624 in LaSalle County,,28.4366363,-99.215944
Crain,GV,CID,Female,Prison,VI,Gatesville,Coryell,https://www.tdcj.texas.gov/unit_directory/gv.html,Texas,TDCJ,Christina Melton Crain Unit,,August 1980,711,92,92,21,Medical = 38; Mental Health = 11,"1,440","G1-G4, Transient, Outside Trusty, Developmentally Disabled, Substance Abuse","1,283 (Co-located with Hilltop, Murray, and Woodman)","Crain, Hilltop, Hughes, O'Daniel, and Murray work in cooperation:  Edible and Field Crops, Farm Shop, Regional Pest Control, Security Horses, Security Pack Canines, and Swine Finishing Operation.",None,Unit Maintenance,Offender Intake/Receiving; Food Service Warehouse; Regional Release Site,"Ambulatory medical, dental, and mental health services.  Specialty clinics available, limited sheltered housing beds, and Hospital Galveston physicians for OB/GYN. Telemedicine and CPAP accommodating housing available. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release, Cognitive Intervention, Parenting; Career and Technology Programs: Business Computer Information Systems II (available at Hilltop); Construction Carpentry (available at Hilltop); Restaurant Management; Central Texas College Academic; Central Texas College Vocational:  Office Administration; Culinary Arts/ Hospitality","Faith-Based Dormitory, Texas Urban Ministry Institute (TUMI) Dormitory, Adult Education Program (upon availability), Peer Education, Patriot Paws, Reentry Planning, Chaplaincy Services, Community Tours, GO KIDS Initiative",Services provided to city agencies.,"Literacy/Education, Substance Abuse Education, Mentoring, Life Skills, Arts/Crafts, Parent Training, Support Groups, Victims Awareness, Religious/Faith-Based Studies and Activities, Women's Storybook Project",Christina Melton Crain Unit,Gatesville,TX,76599-2999,(254) 865-8431,Three miles north of Gatesville on Highway 36 in Coryell County,,31.4720943,-97.7389354
Dalhart,DH,CID,Male,Prison,V,Dalhart,Hartley,https://www.tdcj.texas.gov/unit_directory/dh.html,Texas,TDCJ,Dalhart Unit,,February 1995,237,45,45,7,Medical = 17; Mental Health = 0,780,"G1, G2, G4","1,520 (Additional 559 leased acres)","Contract Farming and Grazing, Security Horses, Security Pack Canines, Unit Garden",None,Unit Maintenance,Scent-Specific Canines,Ambulatory medical and dental  services. Telemedicine Services and CPAP accommodating housing available. Managed by Texas Tech.,"Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Construction Carpentry; Piping Trades/Plumbing","Adult Education Program (upon availability), Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative, Peer Education","Services provided to city and county agencies, area school districts, and local organizations.","Substance Abuse Education, Support Groups, Religious/Faith-Based Studies and Activities",Dalhart Unit,Dalhart,TX,79022,(806) 249-8432,Four miles west of Dalhart on Hwy 54 and one mile south on FM 998 in Hartley County,,36.02365959999999,-102.5618252
Daniel,DL,CID,Male,Prison,V,Snyder,Scurry,https://www.tdcj.texas.gov/unit_directory/dl.html,Texas,TDCJ,Price Daniel Unit,,August 1989,224,64,64,17,Medical = 4; Mental Health = 1,880,"G1, G2, G4, Safekeeping",579,"Edible and Field Crops, Security Horses, Security Pack Canines",Freight Terminal; Snyder Distribution Center,Unit Maintenance,Windham Region V Administrative Office,"Ambulatory medical, dental, and mental health services. Telemedicine Services and CPAP accommodating housing available. All services on a single level. Managed by Texas Tech.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs:  Bricklaying/Stone Masonry; Construction Carpentry; Western Texas College Vocational: Computer Repair","Adult Education Program (upon availability), Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative, Peer Education, Reentry Planning","Services provided to city agencies, the local school district, local organizations, the Texas Department of Transportation, and the Texas Department of Public Safety.","Substance Abuse Education, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities",Price Daniel Unit,Snyder,TX,79549,(325) 573-1114,Four miles east of Snyder on Hwy 180 and one  mile north of CR 1673 in Scurry County,,32.7206416,-100.8174847
Diboll,DO,CID,Male,Pre-Release,I,Diboll,Angelina,https://www.tdcj.texas.gov/unit_directory/do.html,Texas,TDCJ,Diboll Correctional Center,,June 1995,136,20,20,,Medical = 8; Mental Health = 0,518,"G1, G2",100,None,None,Unit Maintenance,None,Ambulatory medical and  dental services. Managed by UTMB.,"Adult Basic Education, GED, Life Skills; Vocational Programs: Carpentry; Landscape and Design; Facility Care","Adult Education Program (upon availability), Chaplaincy Services, Faith-Based Dormitory, Reentry Planning",Services provided to city and county agencies.,"Life Skills, Substance Abuse Education, Mentoring, Support Groups, Employment/Job Skills, Religious/Faith-Based Studies and Activities",Diboll Correctional Center,Diboll,TX,75941,(936) 829-2295,One  mile west of Hwy 59 on South First Street Angelina County,Mohamed Touhami,31.190795,-94.784515
Dominguez,BX,CID,Male,State Jail,IV,San Antonio,Bexar,https://www.tdcj.texas.gov/unit_directory/bx.html,Texas,TDCJ,Fabian Dale Dominguez State Jail,,May 1995,382,74,74,24,Medical = 18; Mental Health = 4,"2,276","J1-J5, G2, Transient",72,Texas Second Chance Food Bank Program,None,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services. Telemedicine and Digital Medical Services (DMS)  available. All services on a single level, including assisted disability services (ADS) showers and CPAP accommodating housing.  Managed by UTMB.","Literacy (Adult Basic Education/GED), Reading, Title I, CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Computer Maintenance Technician; Technical Introduction to Computer-Aided Drafting","Faith-Based Dormitory, Prisoner Reentry Initiative (PRI), Adult Education Program (upon availability), Pawsitive Approach Assistance Dog Program, Reentry Planning, Chaplaincy Services, Crime Stoppers, Community Tours, GO KIDS Initiative","Services provided to city and state agencies,  local organizations, and the area food bank.","Substance Abuse Education, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities",Fabian Dale Dominguez State Jail,San Antonio,TX,78252-2202,(210) 675-6620,Intersection of Hwy 90 West and Loop 1604 South in Bexar County,,29.3669843,-98.7082978
Duncan,N6,CID,Male,Geriatric Facility,I,Diboll,Angelina,https://www.tdcj.texas.gov/unit_directory/n6.html,Texas,TDCJ,Rufus H. Duncan Geriatric Facility,,August 1992,139,25,25,0,Medical = 9; Mental Health = 0,530,"G1, G2, Transient",25,Unit  Garden,None,Unit Maintenance,None,"Ambulatory medical and dental services. All services on a single level, including 40 wheelchair accessible beds. Digital Medical Services (DMS) and electronic specialty clinics available. Managed by UTMB.",None,"Faith-Based Dormitory, Adult Education Program (upon availability), Peer Education, Chaplaincy Services",Services provided to city and county agencies and  local organizations.,"Substance Abuse Education, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities",Rufus H. Duncan Geriatric Facility,Diboll,TX,75941,(936) 829-2616,One  mile west of Hwy 59 on South First Street in Angelina County,,31.1715679,-94.8031622
East Texas Treatment Facility,XQ,MTC,Co-Gender,Private Multi-Use,VI,Henderson,Rusk,https://www.tdcj.texas.gov/unit_directory/xq.html,Texas,TDCJ,East Texas Multi-Use Facility,,March 2004,493,185,185,,Medical = 27; Mental Health = 1,"1,060",Substance Abuse,42,None,None,Unit Maintenance,None,"Ambulatory medical and dental services. Medical care available 24 hours a day, seven days a week. All services on a single level, including chronic care clinics and CPAP accommodating housing. Managed by MTC.","Adult Basic Education (1,2,3), GED, Life Skills, Computer Lab, Resume Writing, Reading Horizons","Chaplaincy Services, Faith-Based Dormitory, Peer Education, Wall Talk",None,"Substance Abuse Education, Support Groups, Life Skills, Religious/Faith-Based Studies and Activities",East Texas Multi-Use Facility,Henderson,TX,75652,(903) 655-3300,900 Industrial Drive in Henderson in Rusk County,,32.1750887,-94.80164979999999
