name,jurisdiction,agency,facility_url,street_address,city,state,zip_code,county,office,latitude,longitude,warden,capacity,gender,phone,fax,chaplain_phone,warden_email,general_email,contact_name,recruiter_email,contact_phone,hours,programs
Hamilton Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/215,10650 S.W. 46th Street,Jasper,FL,32052-1360,Hamilton,Region 2,30.5049624,-82.96346899999999,Paul Allen,,Male,(386) 792-5151,(386) 792-5159,(386) 792-5875,paul.allen@fdc.myflorida.com,HamiltonCI.WardenOffice@fdc.myflorida.com,Christopher Burnham,Christopher.Burnham@fdc.myflorida.com,(386) 792-5803,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Special Education; Vocational: ATLO Software Learning Lab; Vocational: Entrepreneurship/Small Business; Vocational: IN2WORK; Vocational: Information Technology Applied Information; Vocational: Introduction to Construction; Vocational: Irrigation I & II; Vocational: Logistics; Vocational: NCCER Core Construction; Vocational: OSHA 10 Class; Chaplaincy: 2ndChance; Chaplaincy: A.A./N.A.; Chaplaincy: Catholic Services; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Library Program; Chaplaincy: D.I.R.E.C.T.; Chaplaincy: Emotional Intelligence; Chaplaincy: Faith-Based Program; Chaplaincy: Hebrew Israelite Study; Chaplaincy: Jehovah's Witness Study; Chaplaincy: Jewish Service and Studies; Chaplaincy: Jumah and Taaleem (Muslim Service and Studies); Chaplaincy: Malachi Dads; Chaplaincy: MINTS - Seminary in Prison; Chaplaincy: Religious Education; Chaplaincy: Spanish Christian Service; Chaplaincy: Various Christian Services and Studies; Chaplaincy: Worship Services
Taylor Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/218,8501 Hampton Springs Road,Perry,FL,32348-8747,Taylor,Region 2,30.0392463,-83.7132716,Larry Keen,,Male,(850) 838-4000,(850) 838-4024,(850) 838-4231,LarryJR.Keen@fdc.myflorida.com,TaylorCI.WardenOffice@fdc.myflorida.com,Jackie Livingston,Jackie.Livingston@fdc.myflorida.com,(850) 838-8787,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: Basic Literacy Program; Academic: English for Speakers of Other Languages (ESOL); Academic: General Educational Development (GED); Vocational: Carpentry; Vocational: Florida Hires - Core Construction; Vocational: Plumbing Technology; Chaplaincy: Buddhist Meditation Program; Chaplaincy: Catholic Mass; Chaplaincy: Celebrate Recovery - English/Spanish; Chaplaincy: Chapel Library Program; Chaplaincy: Chapel Praise Team; Chaplaincy: Experiencing God; Chaplaincy: Family Integrity Training (FIT); Chaplaincy: Hebrew Israelite; Chaplaincy: Islamic Jumah Prayer; Chaplaincy: Jehovah Witness Studies; Chaplaincy: Jewish Studies; Chaplaincy: Messianic Studies; Chaplaincy: Protestant Worship; Chaplaincy: Religious Education; Chaplaincy: Spanish Protestant Worship; Chaplaincy: Spanish Worship Programs; Chaplaincy: Spiritual Advisor Program; Chaplaincy: Stepping Up; Chaplaincy: Worship Services
Hamilton Correctional Institution Annex,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/250,10650 S.W. 46th Street,Jasper,FL,32052-1360,Hamilton,Region 2,30.5049624,-82.96346899999999,Paul Allen,,Male,(386) 792-5897,(386) 792-5159,(386) 792-5951,paul.allen@fdc.myflorida.com,HamiltonCI.WardenOffice@fdc.myflorida.com,Christopher Burnham,Christopher.Burnham@fdc.myflorida.com,(386) 792-5803,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Mandatory Literacy Program; Vocational: Applied Information Technology; Chaplaincy: Chapel Library Program; Chaplaincy: Religious Education; Chaplaincy: Worship Services
Union Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/213,25636 NE SR-16,Raiford,FL,32083,Union,Region 2,30.0669137,-82.1917556,Barry Reddish,,Male,(386) 431-2000,(386) 431-2016,(386) 431-4125,barry.reddish@fdc.myflorida.com,UnionCI.WardenOffice@fdc.myflorida.com,Candice Rossman,Candice.Rossman@fdc.myflorida.com,(386) 431-2208,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education (Open Population & Close Management); Academic: General Educational Development (Open Population & Close Management); Academic: Special Education Services (Close Management); Chaplaincy: Chapel Library Program; Chaplaincy: Faith and Character-Based Dormitory; Chaplaincy: Kairos Weekends; Chaplaincy: Religious Education; Chaplaincy: Trinity Broadcasting Network (TBN); Chaplaincy: Way Home Bridge Builders; Chaplaincy: Worship Services
Taylor Correctional Institution Annex,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/224,8501 Hampton Springs Road,Perry,FL,32348,Taylor,Region 2,30.0392463,-83.7132716,,,Male,,,,,,,,,,Academic: Adult Basic Education; Academic: Basic Literacy Program; Academic: English for Speakers of Other Languages (ESOL); Academic: General Educational Development (GED); Vocational: Carpentry; Vocational: Florida Hires - Core Construction; Vocational: Plumbing Technology; Chaplaincy: Buddhist Meditation Program; Chaplaincy: Catholic Mass; Chaplaincy: Celebrate Recovery - English; Chaplaincy: Chapel Library Program; Chaplaincy: Chapel Praise Team; Chaplaincy: Experiencing God; Chaplaincy: Family Integrity Training (FIT); Chaplaincy: Hebrew Israelite; Chaplaincy: Islamic Jumah Prayer; Chaplaincy: Jehovah Witness Studies; Chaplaincy: Jewish Studies; Chaplaincy: Messianic Studies; Chaplaincy: Protestant Worship; Chaplaincy: Religious Education; Chaplaincy: Spanish Protestant Worship; Chaplaincy: Spanish Worship Services; Chaplaincy: Spiritual Advisor Program; Chaplaincy: Stepping Up; Chaplaincy: Worship Services
"Central Florida Reception Center, East Unit",Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/321,7000 H C Kelley Rd.,Orlando,FL,32831-2518,Orange,Region 3,28.4633686,-81.1540029,Jess Baldridge,,Male,(407) 207-7777,(407) 249-6570,(407) 208-8284,jess.baldridge@fdc.myflorida.com,CFRC.WardenOffice@fdc.myflorida.com,Edward Vasquez,Edward.Vasquez@fdc.myflorida.com,(407) 208-8174,9:00 a.m. - 3:00 p.m. EST,"Academic: Adult Basic Education; Academic: ATLO Programming; Academic: General Educational Development (GED); Academic: OSHA; Academic: UCF - Creative Writing, English 101, Science, Poetry, Art, American Religion; Chaplaincy: Chapel Library Program; Chaplaincy: Religious Education; Chaplaincy: Spiritual Counseling; Chaplaincy: Worship Services"
Gadsden Correctional Facility,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/111,6044 Greensboro Highway,Quincy,FL,32351-9100,Gadsden,Region 1,30.5903538,-84.656413,Jerry Buscher,,Female,(850) 875-9701,(850) 875-9710,(850) 875-9701,Jerry.Buscher@mtctrains.com,,,,,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education/GED; Academic: Literacy; Academic: Post Secondary; Academic: Tutoring; Vocational: Cosmetology with onsite Board testing by DBPR; Vocational: Culinary Arts with ServSafe testing onsite; Vocational: Facial Specialty (Esthetician) registration with the State; Vocational: Global Logistics Technology & Supply Chain; Vocational: Horticulture; Re-Entry: Compass 180; Re-Entry: Keys to Success; Re-Entry: Shaping Success for Women (12-Month In-House Program); Chaplaincy: Biblical Life Skills; Chaplaincy: Family Empowerment; Chaplaincy: Grief and Loss; Chaplaincy: Helping Women Recover; Chaplaincy: Inspired by Love; Chaplaincy: Most Excellent Way; Chaplaincy: Prison Fellowship; Chaplaincy: Purpose Driven Life; Chaplaincy: Seeking Safety
Santa Rosa Correctional Institution Annex,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/135,5850 East Milton Road,Milton,FL,32583-7914,Santa Rosa,Region 1,30.6446934,-86.96792339999999,Ronnie Quinn,,Male,(850) 983-5800,(850) 983-5907,(850) 983-4530,ronnie.quinn@fdc.myflorida.com,SantaRosaCI.WardenOffice@fdc.myflorida.com,Christy Padgett,Christy.Padgett@fdc.myflorida.com,(850) 983-5909,8:00 a.m. - 11:00 a.m. CST | 12:00 p.m. - 3:00 p.m. CST,Academic: Adult Basic Education (ABE); Academic: General Educational Development (GED); Academic: Literacy; Academic: Special Education Services (Restricted Housing); Vocational: Aramark IN2WORK Program; Vocational: Beginning Farmer (partner with UF/IFAS); Vocational: Carpentry (partner with NWFSC); Vocational: Farming Finance (partner with UF/IFAS); Vocational: Florida-friendly Landscaping (partner with UF/IFAS); Vocational: Global Logistics and Warehousing; Vocational: Plumbing; Vocational: Welding (partner with NWFSC); Chaplaincy: AA; Chaplaincy: Anger Management; Chaplaincy: Bible Studies; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Library Program; Chaplaincy: Family Integrity Program (FIT); Chaplaincy: Harvest of Life; Chaplaincy: Inmate Field Minister Ministries; Chaplaincy: Inmate Music Programs; Chaplaincy: Kairos; Chaplaincy: Mental Health Dorm Cell to Cell Ministry; Chaplaincy: Religious Education; Chaplaincy: Religious Holy Day Observance and Rituals; Chaplaincy: Religious Volunteer Activities; Chaplaincy: Spanish Religious Services; Chaplaincy: Special Religious Events; Chaplaincy: Spiritual Advisor Visits; Chaplaincy: Spiritual Crisis and Adjustment Counseling; Chaplaincy: Walk on Water (WOW); Chaplaincy: Worship Services
Santa Rosa Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/119,5850 East Milton Road,Milton,FL,32583-7914,Santa Rosa,Region 1,30.6446934,-86.96792339999999,Ronnie Quinn,,Male,(850) 983-5800,(850) 983-5907,(850) 983-4530,ronnie.quinn@fdc.myflorida.com,SantaRosaCI.WardenOffice@fdc.myflorida.com,Christy Padgett,Christy.Padgett@fdc.myflorida.com,(850) 983-5909,8:00 a.m. - 11:00 a.m. CST | 12:00 p.m. - 3:00 p.m. CST,Academic: Adult Basic Education (Close Management & Open Population); Academic: COMPASS 180 Transition Course (Close Management & Open Population); Academic: General Educational Development (GED) (Close Management & Open Population); Academic: Special Education Services (Close Management); Academic: Volunteer Literacy Program; Academic: Reading and Writing Groups (Open Population); Vocational: Farm Worker; Vocational: Textile Repair Worker; Vocational: Work Force Readiness; Chaplaincy: Bible Studies; Chaplaincy: Chapel Library Program; Chaplaincy: CM Bible Studies; Chaplaincy: CM Bible Study Course; Chaplaincy: CM Cell Front Visitation; Chaplaincy: Harvest of Life; Chaplaincy: Houses of Healing (CM); Chaplaincy: Inmate Field Minister Ministries; Chaplaincy: Inmate Music Program; Chaplaincy: Jack Brewer Fatherhood Initiative; Chaplaincy: Kairos; Chaplaincy: Malachi Dads; Chaplaincy: Religious Education; Chaplaincy: Religious Holy Day Observance and Rituals; Chaplaincy: Religious Volunteer Activities; Chaplaincy: Spanish Religious Services; Chaplaincy: Special Religious Events; Chaplaincy: Spiritual Advisor Visits; Chaplaincy: Spiritual Crisis and Adjustment Counseling; Chaplaincy: Walk On Water (WOW); Chaplaincy: Worship Services
Gulf Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/109,500 Ike Steele Road,Wewahitchka,FL,32465-0010,Gulf,Region 1,30.1715775,-85.25556619999999,Michael Pabis,,Male,(850) 639-1000,(850) 639-1182,(850) 639-1475,michael.pabis@fdc.myflorida.com,GulfCI.WardenOffice@fdc.myflorida.com,Jena Rice,Jena.Rice@fdc.myflorida.com,(850) 639-1483,8:00 a.m. - 2:00 p.m. CST,Academic: ABE Adult Basic Education; Academic: Compass 180 Live/Hybrid; Academic: Correspondence Course; Academic: GED General Educational Development; Academic: Literacy; Vocational: Environmental Services; Vocational: HVAC; Chaplaincy: Anger Resolution; Chaplaincy: Basic Life principles; Chaplaincy: Bondage to Freedom; Chaplaincy: Chapel Library Program; Chaplaincy: Faith-based alternative transitional program; Chaplaincy: Prison Fellowship biannual; Chaplaincy: Religious education; Chaplaincy: Storybook Program; Chaplaincy: Transition Housing Assistance; Chaplaincy: Worship services
Florida Women's Reception Center,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/368,3700 NW 111th Place,Ocala,FL,34482-1479,Marion,Region 3,29.3103913,-82.1869979,Nan Jeffcoat,,Female,(352) 840-8000,(352) 402-6620,(352) 840-7958,Nan.Jeffcoat@fdc.myflorida.com,FloridaWomen'sRC.Warden'sOffice@fdc.myflorida.com,Jacalyn Mike,Jacalyn.Mike@fdc.myflorida.com,(352) 840-7807,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Special Education Screening (Child Find); Chaplaincy: Faith & Character Based Programs; Chaplaincy: Chapel Library; Chaplaincy: Religious Education; Chaplaincy: Worship Services
Reception and Medical Center West Unit,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/208,7765 S CR 231 Lake,Butler,FL,32054-0628,Union,Region 2,29.9899014,-82.3594291,Travis Lamb,891.0,Male,(386) 496-6000,(386) 496-3287,(386) 496-7010,Travis.Lamb@fdc.myflorida.com,RMC.WardenOffice@fdc.myflorida.com,Heather Liston,Heather.Liston@fdc.myflorida.com,(386) 496-6195,9:00 a.m. - 3:00 p.m. EST,Chaplaincy: Religious Education; Chaplaincy: Worship Services
Cross City East Unit,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/269,568 N.E. 255th Street Cross,City,FL,32628,Dixie,Region 2,29.6313397,-83.099284,Jeff Kennedy,432.0,Male,(352) 498-4900,(352) 498-4333 or 4334,(352) 498-4793,jeff.kennedy@fdc.myflorida.com,CrossCityCI.WardenOffice@fdc.myflorida.com,Ashley Riley,Ashley.Riley@fdc.myflorida.com,(352) 498-4756,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education (ITA); Academic: General Educational Development (GED); Academic: Volunteer Literacy Program
Baker Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/279,20706 U.S. Highway 90 West,Sanderson,FL,32087-2359,Baker,Region 2,30.214814,-82.372328,,,Male,,,,,,,,,,
Marion Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/304,3269 NW 105th Street,Ocala,FL,34475,Marion,Region 3,29.3044006,-82.17957640000002,Paul Kish,,Male,(352) 401-6400,(352) 840-5657,(352) 401-6400,Paul.Kish@fdc.myflorida.com,MarionCI.WardenOffice@fdc.myflorida.com,Felix Alicea,Felix.Alicea@fdc.myflorida.com,(352) 401-6400,9:00 a.m. - 3:00 p.m. EST,"Academic: Adult Basic Education; Academic: Ashland University College Program; Academic: General Educational Development (GED); Academic: Mandatory Literacy Program; Academic: Special Education Services; Academic: Title I Services; Vocational: Air Conditioning, Refrigeration and Heating; Vocational: CPR/First Aid; Vocational: Electrical Wiring; Vocational: Heavy Equipment Operator (HEO); Vocational: NCCER Core Safety Course; Vocational: Polk State Logistics CLA/CLT w/OSHA 10; Vocational: Tremco Roofing Program; Chaplaincy: A.A.; Chaplaincy: Apologetics Class; Chaplaincy: Bible Studies; Chaplaincy: Chapel Library Program; Chaplaincy: Chapel Movie Saturday; Chaplaincy: Church Behind Bars; Chaplaincy: Creative Arts Team; Chaplaincy: Discipleship Class; Chaplaincy: English for Spanish Speakers; Chaplaincy: Faith and Character Based Programming; Chaplaincy: Faith Based 12-Step programs; Chaplaincy: Fatherhood Class; Chaplaincy: F.I.T. Classes; Chaplaincy: Gavel Club; Chaplaincy: Holy Day Observance; Chaplaincy: Journey to the Heart; Chaplaincy: Kairos; Chaplaincy: Lifers; Chaplaincy: MINTS - Miami International Theological Seminary; Chaplaincy: N.A.; Chaplaincy: New Path; Chaplaincy: Praise Team/Worship Band; Chaplaincy: Prison Fellowship; Chaplaincy: Religious Education; Chaplaincy: Sexual Addiction (SA); Chaplaincy: Special Events; Chaplaincy: Spiritual Advisors and Mentoring; Chaplaincy: Weekend Seminars; Chaplaincy: Worship Services; Chaplaincy: Xtreme SOULutions; Chaplaincy: Buddhist Services; Chaplaincy: Catholic Services; Chaplaincy: Christian Services; Chaplaincy: Hebrew Israelite Services; Chaplaincy: Islamic Services; Chaplaincy: Jehovah Witness Services; Chaplaincy: Latter-day Saints; Chaplaincy: Odinist Services; Chaplaincy: Jewish Services; Chaplaincy: Wiccan Services"
Gulf Correctional Institution Annex,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/150,699 Ike Steele Road,Wewahitchka,FL,32465-0010,Gulf,Region 1,30.1752022,-85.2671429,Michael Pabis,720.0,Male,(850) 639-1000,(850) 639-1182,(850) 639-1475,michael.pabis@fdc.myflorida.com,gulfci.wardenoffice@fdc.myflorida.com,Jena Rice,jena.rice@fdc.myflorida.com,(850) 639-1483,,
