code,name,securityLevel,region,latitude,longitude,url,timeZone,address,city,state,zipCode,phoneNumber,contactEmail,locationtype,privateFacl,gender,special,type,faclTypeDescription,hasCamp,imageNormal,population
BIG,Big Spring,Low,South Central Region,32.22123811076942,-101.50749206542967,/locations/institutions/big/,C,1900 SIMLER AVE,BIG SPRING,TX,79720,432-466-2300,BIG-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/big/BIG_lrg.jpg,495.0
BMX,Beaumont,N/A,South Central Region,29.963523369409856,-94.07785892486572,/locations/search.jsp?q=FCC+Beaumont&name=Beaumont&facilityType=FCC,C,5830 KNAUTH ROAD,BEAUMONT,TX,77705,-1--1,,inst,f,male,False,FCC,Federal Correctional Complex,False,/locations/institutions/bmx/BMX_lrg.jpg,
BOP,Central Office HQ,N/A,Central Office,38.89382399228095,-77.01224640011787,/locations/central_office/,E,"320 FIRST STREET, NW",WASHINGTON,DC,20534,202-307-3198,info@bop.gov,co,f,n/a,False,CO,Central Office,False,/locations/central_office/CO_lrg.jpg,
BRO,Brooklyn,Administrative,Northeast Region,40.66022101614251,-74.00356829166412,/locations/institutions/bro/,E,80 29TH STREET,BROOKLYN,NY,11232,718-840-4200,BRO-ExecAssistant-S@bop.gov,inst,f,mixed,False,MDC,Metropolitan Detention Center,False,/locations/institutions/bro/BRO_lrg.jpg,1292.0
BRY,Bryan,Minimum,South Central Region,30.67601068483189,-96.36138439178468,/locations/institutions/bry/,C,1100 URSULINE AVENUE,BRYAN,TX,77803,979-823-1879,BRY-PublicInformation-S@bop.gov,inst,f,female,False,FPC,Federal Prison Camp,False,/locations/institutions/bry/BRY_lrg.jpg,630.0
BSY,Big Sandy,High,Mid-Atlantic Region,37.84246141054429,-82.53667831420898,/locations/institutions/bsy/,E,1197 AIRPORT ROAD,INEZ,KY,41224,606-433-2400,BSY-ExecAssistant-S@bop.gov,inst,f,male,False,USP,U.S. Penitentiary,True,/locations/institutions/bsy/BSY_lrg.jpg,1260.0
BUX,Butner,N/A,Mid-Atlantic Region,36.138212637486205,-78.79944920539856,/locations/search.jsp?q=FCC+Butner&name=Butner&facilityType=FCC,E,OLD NC HWY 75,BUTNER,NC,27509,-1--1,,inst,f,male,False,FCC,Federal Correctional Complex,False,,
CAA,Canaan,High,Northeast Region,41.56763099525645,-75.40834307670593,/locations/institutions/caa/,E,3057 ERIC J. WILLIAMS,WAYMART,PA,18472,570-488-8000,CAA-ExecAssistant-S@bop.gov,inst,f,male,False,USP,U.S. Penitentiary,True,/locations/institutions/caa/CAA_lrg.jpg,1348.0
CAT,Atlanta,N/A,Southeast Region,33.71188173364292,-84.3639063835144,/locations/ccm/cat,E,719 MCDONOUGH BLVD S.E.,ATLANTA,GA,30315,470-832-5841,CAT-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CBR,Baltimore,N/A,Mid-Atlantic Region,39.12027227440838,-76.77684903144836,/locations/ccm/cbr/,E,"400 FIRST STREET, NW",WASHINGTON,MD,20534,202-428-6161,CBR-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CCC,Chicago,Administrative,North Central Region,41.876665007897,-87.63018518686295,/locations/institutions/ccc/,C,71 WEST VAN BUREN STREET,CHICAGO,IL,60605,312-322-0567,CCC-ExecAssistant-S@bop.gov,inst,f,mixed,False,MCC,Metropolitan Correctional Center,False,/locations/institutions/ccc/CCC_lrg.jpg,504.0
CCH,Chicago,N/A,North Central Region,41.87937904790704,-87.63412535190582,/locations/ccm/cch/,C,"1901 BUTTERFIELD ROAD, SUITE",DOWNERS GROVE,IL,60515,331-903-4043,CCH-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CCN,Cincinnati,N/A,Northeast Region,39.10385710591814,-84.51236665248871,/locations/ccm/ccn/,E,"36 E. 7TH ST., SUITE 2107-A",CINCINNATI,OH,45202,513-826-9364,CCN-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CDA,Dallas,N/A,South Central Region,32.812670070909164,-96.81384086608888,/locations/ccm/cda/,C,US ARMED FORCES RESERVE CMPL,GRAND PRAIRIE,TX,75051,469-928-2182,CDA-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CDT,Detroit,N/A,North Central Region,42.09890703288096,-83.66957902908325,/locations/ccm/cdt/,E,4026 E. ARKONA RD.,MILAN,MI,48160,734-508-9048,CDT-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CKC,Kansas City,N/A,North Central Region,39.11654316704711,-94.61968660354614,/locations/ccm/ckc/,C,"400 STATE AVE., RM 131",KANSAS CITY,KS,66101,620-307-7531,CKC-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CLB,Long Beach,N/A,Western Region,33.7270523232909,-118.26810121536256,/locations/ccm/clb/,P,1299 SEASIDE AVENUE,SAN PEDRO,CA,90731,424-450-2866,CLB-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CMM,Miami,N/A,Southeast Region,25.77806863135173,-80.19376873970032,/locations/ccm/cmm,E,401 N MIAMI AVENUE,MIAMI,FL,33128,786-584-4730,CMM-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CMS,Minneapolis,N/A,North Central Region,44.97805044643724,-93.26568603515624,/locations/ccm/cms/,C,"300 SOUTH 4TH ST, SUITE 1210",MINNEAPOLIS,MN,55415,612-332-5026,CMS-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CMY,Montgomery,N/A,Southeast Region,32.39196604905696,-86.35588645935059,/locations/ccm/cmy,C,"MAXWELL AFB, BLDG 1209",MONTGOMERY,AL,36112,334-922-6684,CMY-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CNK,New York,N/A,Northeast Region,40.65988732637896,-74.00301575660706,/locations/ccm/cnk/,E,201 VARICK STREET,NEW YORK,NY,10014,212-336-5419,CNK-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CNV,Nashville,N/A,Mid-Atlantic Region,36.15833785894452,-86.78255081176758,/locations/ccm/cnv/,C,"701 BROADWAY ST, SUITE 124",NASHVILLE,TN,37203,629-266-6380,CNV-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
COR,Orlando,N/A,Southeast Region,28.75962721130452,-82.00122356414795,/locations/ccm/cor/,E,6303 COUNTY ROAD 500,WILDWOOD,FL,34785,352-254-6140,COR-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
COX,Coleman,N/A,Southeast Region,28.755825012996887,-82.0135349035263,/locations/search.jsp?q=FCC+Coleman&name=Coleman&facilityType=FCC,E,846 NE 54TH TERRACE,COLEMAN,FL,33521,-1--1,COA-PublicInformation-S@bop.gov,inst,f,male,False,FCC,Federal Correctional Complex,False,,
CPA,Philadelphia,N/A,Northeast Region,39.94940796479055,-75.14578700065613,/locations/ccm/cpa/,E,2ND & CHESTNUT ST - 7TH FL,PHILADELPHIA,PA,19106,445-201-8783,CPA-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CPG,Pittsburgh,N/A,Northeast Region,40.44363210182356,-79.99524235725403,/locations/ccm/cpg/,E,"1000 LIBERTY AVENUE,STE 1315",PITTSBURGH,PA,15222,412-395-7930,CPG-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CPH,Phoenix,N/A,Western Region,33.451026,-112.07539,/locations/ccm/cph/,MA,"230 N FIRST AVE, SUITE 405",PHOENIX,AZ,85003,602-333-0537,CPH-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CRL,Raleigh,N/A,Mid-Atlantic Region,36.144528857027744,-78.79013657569885,/locations/ccm/crl/,E,OLD NC 75 HIGHWAY,BUTNER,NC,27509,919-964-6150,CRL-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CRW,Carswell,Administrative,South Central Region,32.78538039249088,-97.41971969604492,/locations/institutions/crw/,C,NAVAL AIR STATION,FORT WORTH,TX,76114,817-782-4000,CRW-ExecAssistant-S@bop.gov,inst,f,female,False,FMC,Federal Medical Center,True,/locations/institutions/crw/CRW_lrg.jpg,1063.0
CSA,San Antonio,N/A,South Central Region,29.41751655130468,-98.48473906517027,/locations/ccm/csa,C,727 EAST CESAR E. CHAVEZ BLV,SAN ANTONIO,TX,78206,726-224-5472,CSA-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CSC,Sacramento,N/A,Western Region,38.58354934727576,-121.49880051612854,/locations/ccm/csc/,P,"501 I STREET, SUITE 9-400",SACRAMENTO,CA,95814,916-288-4266,CSC-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CSE,Seattle,N/A,Western Region,47.4227076,-122.3024917,/locations/ccm/cse,P,2425 SOUTH 200 ST (AT FDC),SEATTLE,WA,98198,253-765-2769,CSE-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CST,St Louis,N/A,North Central Region,38.62438528072939,-90.19984602928162,/locations/ccm/cst/,C,"1222 SPRUCE ST, SUITE 6.101",ST LOUIS,MO,63103,314-410-6818,CST-CCM-S@bop.gov,rrm,f,n/a,False,RRM,Residential Reentry Office,False,,
CUM,Cumberland,Medium,Mid-Atlantic Region,39.59560288583264,-78.754141330719,/locations/institutions/cum/,E,14601 BURBRIDGE RD SE,CUMBERLAND,MD,21502,301-784-1000,CUM-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/cum/CUM_lrg.jpg,881.0
DAN,Danbury,Low,Northeast Region,41.4406915868142,-73.47323656082153,/locations/institutions/dan/,E,33 1/2 PEMBROKE STATION,DANBURY,CT,06811,203-743-6471,DAN-ExecAssistant-S@bop.gov,inst,f,mixed,False,FCI,Federal Correctional Institution,True,/locations/institutions/dan/DAN_lrg.jpg,1132.0
DEV,Devens,Administrative,Northeast Region,42.52879629320373,-71.62627816200256,/locations/institutions/dev/,E,42 PATTON ROAD,AYER,MA,01432,978-796-1000,DEV-ExecAssistant-S@bop.gov,inst,f,male,False,FMC,Federal Medical Center,True,/locations/institutions/dev/DEV_lrg.jpg,1079.0
DTH,Duluth,Minimum,North Central Region,46.8342697,-92.1958948,/locations/institutions/dth/,C,4464 RALSTON DRIVE,DULUTH,MN,55811,218-722-8634,,inst,f,male,False,FPC,Federal Prison Camp,False,/locations/institutions/dth/DTH_lrg.jpg,198.0
DUB,Dublin,Low,Western Region,37.71593179457435,-121.88796758651732,/locations/institutions/dub/,P,5701 8TH ST - CAMP PARKS,DUBLIN,CA,94568,925-833-7500,,inst,f,female,False,FCI,Federal Correctional Institution,False,/locations/institutions/dub/DUB_lrg.jpg,
EDG,Edgefield,Medium,Southeast Region,33.760097075210616,-81.9198989868164,/locations/institutions/edg/,E,501 GARY HILL ROAD,EDGEFIELD,SC,29824,803-637-1500,EDG-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/edg/EDG_lrg.jpg,1270.0
ELK,Elkton,Low,Northeast Region,40.76804545819932,-80.7119607925415,/locations/institutions/elk/,E,8730 SCROGGS ROAD,LISBON,OH,44432,330-420-6200,ELK-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,False,/locations/institutions/elk/ELK_lrg.jpg,1546.0
ENG,Englewood,Low,North Central Region,39.63874440886546,-105.1070272922516,/locations/institutions/eng/,M,9595 WEST QUINCY AVENUE,LITTLETON,CO,80123,303-763-4300,ENG-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,False,/locations/institutions/eng/ENG_lrg.jpg,945.0
ERE,El Reno,Medium,South Central Region,35.537063059389546,-98.00233840942384,/locations/institutions/ere/,C,4205 HIGHWAY 66 WEST,EL RENO,OK,73036,405-262-4875,ERE-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/ere/ERE_lrg.jpg,1003.0
EST,Estill,Medium,Southeast Region,32.71999903656538,-81.25186800956726,/locations/institutions/est/,E,100 PRISON ROAD,ESTILL,SC,29918,803-625-4607,EST-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,False,/locations/institutions/est/EST_lrg.jpg,75.0
FAI,Fairton,Medium,Northeast Region,39.38979954241257,-75.15979886054993,/locations/institutions/fai/,E,655 FAIRTON-MILLVILLE ROAD,FAIRTON,NJ,08320,856-453-1177,FAI-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/fai/FAI_lrg.jpg,732.0
FLX,Florence,N/A,North Central Region,38.3614873975681,-105.10712921619417,/locations/search.jsp?q=FCC+Florence&name=Florence&facilityType=FCC,M,5880 HWY 67 S,FLORENCE,CO,81226,-1--1,FLX-ExecAssistant-S@bop.gov,inst,f,male,False,FCC,Federal Correctional Complex,False,,
FOX,Forrest City,N/A,South Central Region,34.979139884580924,-90.81344962120056,/locations/search.jsp?q=FCC+Forrest+City&name=Forrest+City&facilityType=FCC,C,1400 DALE BUMPERS ROAD,FORREST CITY,AR,72335,870-630-6000,,inst,f,male,False,FCC,Federal Correctional Complex,False,,
FTD,Fort Dix,Low,Northeast Region,40.00005428525468,-74.60862636566162,/locations/institutions/ftd/,E,5756 HARTFORD &,JOINT BASE MDL,NJ,08640,609-723-1100,FTD-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/ftd/FTD_lrg.jpg,3870.0
FTW,Fort Worth,Administrative,South Central Region,32.68028303183295,-97.28237986564636,/locations/institutions/ftw/,C,3150 HORTON ROAD,FORT WORTH,TX,76119,817-534-8400,FTW-ExecAssistant-S@bop.gov,inst,f,male,False,FMC,Federal Medical Center,False,/locations/institutions/ftw/FTW_lrg.jpg,1526.0
GIL,Gilmer,Medium,Mid-Atlantic Region,38.922157403987896,-80.78066825866699,/locations/institutions/gil/,E,201 FCI LANE,GLENVILLE,WV,26351,304-626-2500,GIL-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/gil/GIL_lrg.jpg,1185.0
GRA,Grand Prairie,N/A,Central Office,32.741985,-96.958036,/locations/grand_prairie/,C,US ARMED FORCES RESERVE CMPL,GRAND PRAIRIE,TX,75051,972-352-4500,,co,F,n/a,False,CO,Central Office,False,/locations/grand_prairie/GRA_lrg.jpg,
GRE,Greenville,Medium,North Central Region,38.86760525803305,-89.41413044929504,/locations/institutions/gre/,C,100 U.S. HWY 40,GREENVILLE,IL,62246,618-664-6200,GRE-ExecAssistant-S@bop.gov,inst,f,mixed,False,FCI,Federal Correctional Institution,True,/locations/institutions/gre/GRE_lrg.jpg,1170.0
GUA,Guaynabo,Administrative,Southeast Region,18.42364928764368,-66.11253619194031,/locations/institutions/gua/,A,652 CARRETERA 28,GUAYNABO,PR,00965,787-749-4480,GUA-ExecAssistant-S@bop.gov,inst,f,mixed,False,MDC,Metropolitan Detention Center,False,/locations/institutions/gua/GUA_lrg.jpg,1039.0
HAX,Hazelton,N/A,Mid-Atlantic Region,39.674229,-79.498873,/locations/search.jsp?q=FCC+Hazelton&name=Hazelton&facilityType=FCC,E,SKY VIEW DRIVE,BRUCETON MILLS,WV,26525,304-379-5000,HAX-ExecAssistant-S@bop.gov,inst,f,mixed,False,FCC,Federal Correctional Complex,False,,
HER,Herlong,Medium,Western Region,40.14406729825646,-120.16358613967896,/locations/institutions/her/,P,741-925 ACCESS ROAD A-25,HERLONG,CA,96113,530-827-8000,HER-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/her/HER_lrg.jpg,894.0
HON,Honolulu,Administrative,Western Region,21.333987785347585,-157.92874574661255,/locations/institutions/hon/,H,351 ELLIOTT ST,HONOLULU,HI,96819,808-838-4200,HON-ExecAssistant-S@bop.gov,inst,f,mixed,False,FDC,Federal Detention Center,False,/locations/institutions/hon/HON_lrg.jpg,256.0
HOU,Houston,Administrative,South Central Region,29.75869136693049,-95.36042153835297,/locations/institutions/hou/,C,1200 TEXAS AVENUE,HOUSTON,TX,77002,713-221-5400,HOU-ExecAssistant-S@bop.gov,inst,f,mixed,False,FDC,Federal Detention Center,False,/locations/institutions/hou/HOU_lrg.jpg,893.0
JES,Jesup,Medium,Southeast Region,31.56110354219634,-81.89178943634033,/locations/institutions/jes/,E,2600 HIGHWAY 301 SOUTH,JESUP,GA,31599,912-427-0870,JES-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/jes/JES_lrg.jpg,1066.0
LAT,La Tuna,Low,South Central Region,31.98318108812643,-106.60508394241332,/locations/institutions/lat/,C,LA TUNA FCI/SCP,ANTHONY,TX,79821,915-791-9000,LAT-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/lat/LAT_lrg.jpg,537.0
LEE,Lee,High,Mid-Atlantic Region,36.70782701264506,-82.99381792545319,/locations/institutions/lee/,E,LEE COUNTY INDUSTRIAL PARK,PENNINGTON GAP,VA,24277,276-546-0150,LEE-ExecAssistant-S@bop.gov,inst,f,male,False,USP,U.S. Penitentiary,True,/locations/institutions/lee/LEE_lrg.jpg,66.0
LEW,Lewisburg,Medium,Northeast Region,40.98107250469765,-76.91349685192108,/locations/institutions/lew/,E,2400 ROBERT F. MILLER DRIVE,LEWISBURG,PA,17837,570-523-1251,LEW-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/lew/LEW_lrg.jpg,458.0
LEX,Lexington,Administrative,Mid-Atlantic Region,38.09795632354743,-84.56653118133545,/locations/institutions/lex/,E,3301 LEESTOWN ROAD,LEXINGTON,KY,40511,859-255-6812,LEX-ExecAssistant-S@bop.gov,inst,f,mixed,False,FMC,Federal Medical Center,True,/locations/institutions/lex/LEX_lrg.jpg,1056.0
LOR,Loretto,Low,Northeast Region,40.495313768972544,-78.61657619476318,/locations/institutions/lor/,E,772 SAINT JOSEPH ST.,LORETTO,PA,15940,814-472-4140,LOR-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,False,/locations/institutions/lor/LOR_lrg.jpg,783.0
LOS,Los Angeles,Administrative,Western Region,34.05352165876335,-118.23806047439577,/locations/institutions/los/,P,535 N ALAMEDA STREET,LOS ANGELES,CA,90012,213-485-0439,LOS-ExecAssistant-S@bop.gov,inst,f,mixed,False,MDC,Metropolitan Detention Center,False,/locations/institutions/los/LOS_lrg.jpg,911.0
LOX,Lompoc,N/A,Western Region,34.6761879729352,-120.50558924674988,/locations/search.jsp?q=FCC+Lompoc&name=Lompoc&facilityType=FCC,P,3901 KLEIN BLVD,LOMPOC,CA,93436,805-735-2771,LOX-ExecAssistant-S@bop.gov,inst,f,male,False,FCC,Federal Correctional Complex,False,,
LVN,Leavenworth,Medium,North Central Region,39.32765014712151,-94.93635892868042,/locations/institutions/lvn/,C,1300 METROPOLITAN,LEAVENWORTH,KS,66048,913-682-8700,LVN-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/lvn/LVN_lrg.jpg,1481.0
MAN,Manchester,Medium,Mid-Atlantic Region,37.1808772921765,-83.78428101539612,/locations/institutions/man/,E,805 FOX HOLLOW ROAD,MANCHESTER,KY,40962,606-598-1900,MAN-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/man/MAN_lrg.jpg,1025.0
MAR,Marion,Medium,North Central Region,37.66132489364545,-88.98763239383698,/locations/institutions/mar/,C,4500 PRISON ROAD,MARION,IL,62959,618-964-1441,MAR-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/mar/MAR_lrg.jpg,1002.0
MCD,McDowell,Medium,Mid-Atlantic Region,37.47926852959168,-81.55574083328247,/locations/institutions/mcd/,E,101 FEDERAL DRIVE,WELCH,WV,24801,304-436-7300,MCD-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/mcd/MCD_lrg.jpg,1525.0
MCK,McKean,Medium,Northeast Region,41.796124056544855,-78.69246125221252,/locations/institutions/mck/,E,6975 ROUTE 59,LEWIS RUN,PA,16738,814-362-8900,MCK-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/mck/MCK_lrg.jpg,932.0
MCR,McCreary,High,Mid-Atlantic Region,36.6857315434324,-84.39077138900757,/locations/institutions/mcr/,E,330 FEDERAL WAY,PINE KNOT,KY,42635,606-354-7000,MCR-ExecAssistant-S@bop.gov,inst,f,male,False,USP,U.S. Penitentiary,True,/locations/institutions/mcr/MCR_lrg.jpg,1428.0
MEM,Memphis,Low,Mid-Atlantic Region,35.155301850272586,-89.86424267292023,/locations/institutions/mem/,C,1101 JOHN A DENIE ROAD,MEMPHIS,TN,38134,901-372-2269,MEM-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/mem/MEM_lrg.jpg,1033.0
MEN,Mendota,Medium,Western Region,36.73076525449928,-120.39236515760422,/locations/institutions/men/,P,33500 WEST CALIFORNIA AVENUE,MENDOTA,CA,93640,559-274-4000,MEN-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/men/MEN_lrg.jpg,734.0
MIA,Miami,Low,Southeast Region,25.616883771255377,-80.41434556245804,/locations/institutions/mia/,E,15801 S.W. 137TH AVENUE,MIAMI,FL,33177,305-259-2100,MIA-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/mia/MIA_lrg.jpg,170.0
MIL,Milan,Low,North Central Region,42.09891499355484,-83.66956830024719,/locations/institutions/mil/,E,4004 EAST ARKONA ROAD,MILAN,MI,48160,734-439-1511,MIL-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,False,/locations/institutions/mil/MIL_lrg.jpg,1541.0
MIM,Miami,Administrative,Southeast Region,25.77801791025525,-80.19311964511871,/locations/institutions/mim/,E,33 NE 4TH STREET,MIAMI,FL,33132,305-577-0010,MIM-ExecAssistant-S@bop.gov,inst,f,mixed,False,FDC,Federal Detention Center,False,/locations/institutions/mim/MIM_lrg.jpg,1290.0
MNA,Marianna,Medium,Southeast Region,30.812283043070757,-85.18894046545029,/locations/institutions/mna/,E,3625 FCI ROAD,MARIANNA,FL,32446,850-526-2313,MNA-ExecAssistant-S@bop.gov,inst,f,mixed,False,FCI,Federal Correctional Institution,True,/locations/institutions/mna/MNA_lrg.jpg,907.0
MON,Montgomery,Minimum,Southeast Region,32.3920136112194,-86.35764867067337,/locations/institutions/mon/,C,MAXWELL AIR FORCE BASE,MONTGOMERY,AL,36112,334-293-2100,MON-ExecAssistant-S@bop.gov,inst,f,male,False,FPC,Federal Prison Camp,False,/locations/institutions/mon/MON_lrg.jpg,814.0
MRG,Morgantown,Minimum,Mid-Atlantic Region,39.60530793983782,-79.95054602622986,/locations/institutions/mrg/,E,"446 GREENBAG ROAD, ROUTE 857",MORGANTOWN,WV,26501,304-296-4416,MRG-ExecAssistant-S@bop.gov,inst,f,male,False,FPC,Federal Prison Camp,False,/locations/institutions/mrg/MRG_lrg.jpg,181.0
NYM,New York,Administrative,Northeast Region,40.71301045194647,-74.00105774402618,/locations/institutions/nym/,E,150 PARK ROW,NEW YORK,NY,10007,646-836-6300,NYM-ExecAssistant-S@bop.gov,inst,f,male,False,MCC,Metropolitan Correctional Center,False,/locations/institutions/nym/NYM_lrg.jpg,
OAX,Oakdale,N/A,South Central Region,30.832138156154823,-92.64348328113556,/locations/search.jsp?q=FCC+Oakdale&name=Oakdale&facilityType=FCC,C,P.O. BOX 5050,OAKDALE,LA,71463,-1--1,,inst,f,male,False,FCC,Federal Correctional Complex,False,,
