name,jurisdiction,agency,facility_url,street_address,city,state,zip_code,phone,fax,latitude,longitude,warden,capacity,population,security_level,gender,opened,cost_per_individual,programs
Joliet Inpatient Treatment Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.joliet-inpatient-treatment-center.html,2848 McDonough St.,Joliet,IL,60436,,,41.51273219999999,-88.1523157,Dr. Catherine Larry,214,71.0,,Male,June 2022,,
Joliet Treatment Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.joliet-treatment-center.html,2848 West McDonough,Joliet,IL,60436,,,41.51273219999999,-88.1523157,Dr. Catherine Larry,334,137.0,,Male,,"169,103",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Commercial Custodial; Career and Technical Education: Horticulture
Lawrence Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.lawrence-correctional-center.html,10940 Lawrence Road,Sumner,IL,62466,,,38.7282137,-87.90698599999999,Jeremiah Brown,1241,879.0,Maximum,Male,November 2001,"76,218",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Academic: Bridge Career Awareness; Career and Technical Education: Career Technologies; Career and Technical Education: Construction Occupations; Career and Technical Education: Culinary Arts; Career and Technical Education: Custodial Maintenance; Other: A Better You; Other: Because I Said I Would; Other: New Direction; Other: Start Now; Other: Drug Awareness; Other: House of Healing; Other: Aim Higher; Other: Inside Out Dads; Other: Anger Management; Other: Money Smart; Other: Thinking For Change; Other: Newsletter; Other: Veteran Program; Other: Victim Impact; Other: Re-entry Summit; Other: Recognizing Implicit Bias; Other: Inner Circle; Other: Building Change; Other: New Individual in Custody Orientation; Other: Library
Lincoln Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.lincoln-correctional-center.html,1098 1350th Street,Lincoln,IL,62656,,,40.1168122,-89.3898553,Tiona Farrington,919,798.0,Minimum,Male,September 1984,"36,993",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Academic: Associate of Liberal Studies; Career and Technical Education: Career Technologies; Career and Technical Education: Custodial Maintenance; Career and Technical Education: Construction Occupations; Career and Technical Education: Horticulture; Industries: Furniture Shop; Volunteer Services: Assistance with religious activities; Volunteer Services: Storybook Program; Volunteer Services: Narcotics Anonymous; Volunteer Services: Alcoholics Anonymous; Volunteer Services: Incarcerated Veterans Transition Programs; Other: Job Preparedness; Other: Life Skills; Other: Youthful Individual in Custody Program; Other: Substance Abuse Counseling; Other: Anger Management; Other: Parenting Classes; Other: Leisure Time Activity; Other: Library/Law Library; Other: Chaplaincy; Other: Community Work Crews; Other: Lifestyle Redirection; Other: Trac 1; Other: Toast Masters
Logan Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.logan-correctional-center.html,1096 1350th Street,Lincoln,IL,62656,,,40.111671,-89.3902411,Michael Long,1397,1034.0,,,January 1978,"69,238",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Academic: North Park University: Masters of Arts in Christian Ministry & Restorative Arts; Academic: Northwestern University: Bachelor of Arts in Social Science; Career and Technical Education: Career technologies; Career and Technical Education: Construction Occupation; Career and Technical Education: Cosmetology; Career and Technical Education: Custodial Maintenance; Career and Technical Education: Horticulture; Industries: Recycling Shop; Industries: Helping Paws Program; Volunteer Services: Religious Services; Volunteer Services: Women & Family Services; Other: Westcare Residential Substance Abuse Treatment Program; Other: Westcare Dual Diagnosis; Other: Substance Abuse Education Program; Other: Women of Hope Unit; Other: Anger Management; Other: Sexual Assault/Abuse Group; Other: Mental Health Services; Other: Leisure Time Services; Other: Re-entry Summit; Other: Seeking Safety; Other: Money Smarts; Other: Moving On; Other: Start Now; Other: Aim Higher
Menard Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.menard-correctional-center.html,711 Kaskaskia Street,Menard,IL,62259,,,37.9117337,-89.8428327,Anthony Wills,2389,1925.0,Medium,Male,March 1878,"44,230",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Building and Construction Maintenance; Career and Technical Education: Small Engines; Industries: Meat Processing; Industries: Janitorial and Cleaning Supplies; Industries: Knit and Sewing; Industries: Waste Removal and Recycling; Volunteer Services: Religious; Other: Anger Management; Other: Chaplaincy; Other: Community Work Crews; Other: Incarcerated Veterans Transition Program; Other: Leisure Time Activity; Other: Library; Other: Life Skills; Other: Substance Abuse; Other: Health Care Services
Menard Medium Security Unit,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.menard-medium-security-unit.html,711 Kaskaskia Street,Menard,IL,62259,,,37.9117337,-89.8428327,Anthony Wills,442,,Medium,Male,May 1996,,Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Other: Job Preparation; Other: Parole School; Other: Re-Entry Summits; Other: Life Style Redirection; Other: Orientation; Other: Trac 1; Other: Community Work Crews
Pinckneyville Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.pinckneyville-correctional-center.html,5835 State Route 154,Pinckneyville,IL,62274,,,38.0863433,-89.3262532,John Barwick,2827,1756.0,Medium,Male,October 1998,"30,227",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Construction Occupations; Career and Technical Education: Culinary Arts; Career and Technical Education: Custodial Maintenance; Career and Technical Education: Career Technologies; Career and Technical Education: Horticulture; Other: Reentry Programming; Other: TRAC I; Other: Lifestyle Redirection; Other: Parole School; Other: Safer Return Program; Other: Chaplaincy
Pontiac Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.pontiac-correctional-center.html,700 W. Lincoln St.,Pontiac,IL,61764,,,40.87106790000001,-88.6359887,Mindi Nurse,1612,561.0,Medium,Male,June 1871,"74,539",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education; Other: Reentry Summit; Other: Lifestyle Redirection; Other: Substance Abuse; Other: Leisure Time Activity; Other: Narcotics Anonymous; Other: Anger Management (Segregation Individuals in Custody ); Other: Trained Reformed and Capable (TRAC I); Other: Library Services; Other: Parole School; Other: Inside Out Dads; Other: Mental Health Development; Other: Budgeting
Pontiac Medium Security Unit,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.pontiac-medium-security-unit.html,700 W. Lincoln St.,Pontiac,IL,61764,,,40.87106790000001,-88.6359887,Mindi Nurse,431,,Medium,Male,,,Academic: ABE (Adult Basic Education); Academic: GED (General Education Development); Academic: Career Technology; Other: Substance Abuse Education; Other: Inside Out Dads; Other: Lifestyle Redirection; Other: Better Man/Better Dad; Other: Peoria Job Partnership; Other: Convicted to Change; Other: Transformed Life; Other: Storybook Reading Project
Robinson Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.robinson-correctional-center.html,13423 East 1150th Avenue,Robinson,IL,62454,,,39.0210472,-87.69816929999999,Chad Jennings,1202,1133.0,Minimum,Male,January 1991,"38,549",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Culinary Arts; Career and Technical Education: Horticulture; Career and Technical Education: Custodial Maintenance; Career and Technical Education: Career Technologies; Volunteer Services: Literacy Volunteers; Other: Life Skills; Other: Substance Abuse; Other: Anger Management; Other: Incarcerated Veterans Transition Program; Other: Leisure Time Activity; Other: Chaplaincy; Other: Library Services; Other: Community Work Crews; Other: Transitions; Other: Alcoholics Anonymous; Other: Narcotics Anonymous; Other: Job Preparation; Other: Parole School; Other: Lifestyle Redirection; Other: Parenting; Other: Domestic Violence; Other: Orientation for New Individuals in Custody; Other: Reentry Summit
Shawnee Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.shawnee-correctional-center.html,6665 State Route 146 East,Vienna,IL,62995,,,37.4057236,-88.7864414,"Brandon Anthony, Day-to-Day Warden",1848,1397.0,Medium,Male,December 1984,"29,443","Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Custodial Maintenance; Career and Technical Education: Automotive Technology; Career and Technical Education: Construction Occupation; Career and Technical Education: Career Technologies; Career and Technical Education: Welding; Industries: Metal fabrication services, including welding; Industries: Outdoor recreational furniture and specialty fabrication items; Industries: Recycling - Go Green Initiative; Other: Religious Volunteers; Other: Life Skills; Other: Drug Education; Other: Anger Management; Other: Incarcerated Veterans Transition Program; Other: Leisure Time Activity; Other: Chaplaincy; Other: Library"
Sheridan Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.sheridan-correctional-center.html,4017 E. 2603 Road,Sheridan,IL,60551,,,41.5173494,-88.6849553,Ryan Woods,2107,1210.0,Medium,Male,,"40,395","Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Academic: Lewis University- Bachelor’s Degree in Professional Studies, Minor in Business; Career and Technical Education: Culinary Arts; Career and Technical Education: Barbering; Career and Technical Education: Welding; Career and Technical Education: Warehousing; Career and Technical Education: Horticulture; Career and Technical Education: Career Technologies; Career and Technical Education: Home Builders Institute (HBI); Career and Technical Education: Electricity; Career and Technical Education: Carpentry; Career and Technical Education: Plumbing; Career and Technical Education: Masonry; Industries: Garment Cutting; Volunteer Services: Alcoholics Anonymous; Volunteer Services: Narcotics Anonymous; Volunteer Services: Bible Studies; Volunteer Services: Fathers Read, Too; Volunteer Services: Inside Out Dads; Other: Positive Parenting Class; Other: Recreational Therapy; Other: Peer Education Program; Other: Drug Education; Other: Healthy Relationships; Other: Anger Management; Other: Young Men's Aggressive Management Groups; Other: Incarcerated Veterans Transition Program; Other: Leisure Time Activity; Other: Chaplaincy; Other: Library; Other: Inner Circle Groups"
Southwestern Illinois Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.southwestern-illinois-correctional-center.html,950 Kingshighway Street,East St. Louis,IL,62203,,,38.6168926,-90.0916159,Vonetta Harris,733,507.0,Minimum,Male,August 1995,"131,164",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Career Technologies; Career and Technical Education: Custodial Maintenance; Career and Technical Education: Construction Occupations; Career and Technical Education: Remedial Skills; Career and Technical Education: Horticulture; Career and Technical Education: Warehousing; Volunteer Services: Alcoholics Anonymous; Volunteer Services: Narcotics Anonymous; Volunteer Services: Storybook Project; Volunteer Services: Pell Grant Seminars; Volunteer Services: Vocational Seminars; Volunteer Services: Salvation Army; Other: Life Skills; Other: Substance Abuse; Other: Family Reunification Program; Other: Inside Out Dad; Other: Fatherhood Initiative; Other: Anger Management/Domestic Violence; Other: Parenting; Other: Interpersonal Relationships; Other: 12-Step Group; Other: Incarcerated Veterans Transition Program; Other: Leisure Time Activity; Other: Chaplaincy; Other: Library; Other: Community Work Crews
Stateville Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.stateville-correctional-center.html,16830 So. Broadway St.,Joliet,IL,60434,,,41.5224447,-88.0893633,Charles Truitt,3020,422.0,Maximum,Male,March 1925,"61,304",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Barbering; Industries: Recycling; Volunteer Services: Creative Art; Volunteer Services: Choir; Volunteer Services: Religious Services for all Faith Groups; Volunteer Services: Volunteer Proctors; correspondence course testing; Postsecondary Education: North Park University: Master of Arts in Christian Ministry and Restorative Arts Degree; Postsecondary Education: Oakton Community College: Associate of Arts; Postsecondary Education: Northwestern University: Bachelor of Arts in collaboration with Oakton Community College; Postsecondary Education: Northeastern University / University Without Walls Program (UWW): Competency Based Bachelor Degree; Postsecondary Education: DePaul University: Inside Out Program; credit bearing class; Postsecondary Education: The Prison+Neighborhood Art/Education Project (PNAP): Structured Spanish class; non-credit bearing class; Postsecondary Education: DePaul University/Senator Ventura Legislative Internship Program; Postsecondary Education: College Think Tanks; Other: North Park University: Peace Circle Training; Other: Library; Other: Life Skills; Other: Music Studio; Other: Anger Management; Other: Substance Abuse; Other: Life Style Redirection; Other: Chaplaincy/Religious Programming; Other: Veterans Group; Other: Counseling; Other: Long Term Offender Program (LTO)/Creative Writing/Creative Art; Other: Houses of Healing; Other: Communication Skills; Other: Math Skills; Other: Finance Skills; Other: Grief Group; Other: Twelve Step Program; Other: Behavior Modification
Taylorville Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.taylorville-correctional-center.html,1144 Illinois Route 29,Taylorville,IL,62568,,,39.5146111,-89.228652,Joshua McDannald,1201,1140.0,Minimum,Male,November 1990,"33,780",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Career Technologies; Career and Technical Education: Culinary Arts; Career and Technical Education: Construction Occupations; Career and Technical Education: Custodial Maintenance; Career and Technical Education: Horticulture; Volunteer Services: Alcoholics Anonymous; Volunteer Services: Narcotics Anonymous; Volunteer Services: Project Storybook (Lutheran Social Services); Other: Lifestyle Redirection (12-week program); Other: Substance Abuse (Civigenics); Other: Anger Management; Other: Self Esteem; Other: Library/Law Library; Other: Chaplaincy; Other: Leisure Time Activity; Other: Parenting; Other: Incarcerated Veterans Transition Program; Other: Group Therapy; Other: Stress Reduction; Other: Young Individual in Custody (12-week program)
Vandalia Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.vandalia-correctional-center.html,"Vandalia, Il 62471",Vandalia,IL,62471,,,38.9606009,-89.0936778,Leanna Williams,1003,519.0,Minimum,Male,,"98,825",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Construction Occupations; Career and Technical Education: Career Technologies; Career and Technical Education: Horticulture; Career and Technical Education: Welding; Industries: Milk Production; Industries: Juice Production; Industries: Turkey Processing; Industries: Vegetable Oil Processing; Industries: Spice Production; Volunteer Services: Alcoholics Anonymous; Volunteer Services: Bible Studies; Volunteer Services: Religious; Other: Chaplaincy; Other: Fatherhood Initiative; Other: Leisure Time Activity; Other: Library; Other: Field Services; Other: TRAC 1; Other: Orientation; Other: Lifestyle Redirection; Other: Drug Education; Other: Parenting; Other: Inside Out Dads; Other: Hot Topics Presentations; Other: Parole School; Other: Anger Management; Other: HIV Peer Groups; Other: Anger Management
Vienna Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.vienna-correctional-center.html,6695 State Route #146 East,Vienna,IL,62995,,,37.4055231,-88.7861393,Darron Hyte,1072,713.0,Minimum,Male,November 1965,"84,347",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Academic: College Academic Classes; Career and Technical Education: Auto Mechanics; Career and Technical Education: Career Technologies; Career and Technical Education: Construction Occupation; Career and Technical Education: Custodial Maintenance; Career and Technical Education: Warehousing; Other: Life Skills; Other: Substance Abuse (AA & NA); Other: Anger Management; Other: Incarcerated Veterans Transition Program; Other: Leisure Time Activity; Other: Chaplaincy; Other: Library; Other: Community Work Crews; Other: Lifestyle Redirection; Other: Field Services; Other: Reentry Summits; Other: Parole School; Other: TRAC 1; Other: Volunteer Services - Religious
